id,book_id,language_id
58633,19377,1
58634,19378,1
58635,19379,1
58636,19380,4
58637,19381,1
58638,19382,1
58639,19383,1
58640,19384,1
58641,19385,1
58642,19386,1
58643,19387,1
58644,19388,1
58645,19389,1
58646,19390,1
58647,19391,1
58648,19392,1
58649,19393,1
58650,19394,1
58651,19395,1
58652,19396,1
58653,19397,1
58654,19398,1
58655,19399,1
51625,12408,8
51626,12409,1
51627,12410,1
51628,12411,1
51629,12412,1
51630,12413,1
51631,12414,1
51632,12415,1
51633,12416,1
51634,12417,1
51635,12418,1
51636,12419,1
51637,12420,1
51638,12421,1
51639,12422,1
51640,12423,1
51641,12424,1
51642,12425,1
51643,12426,1
51644,12427,1
51645,12428,1
51646,12429,1
51647,12430,1
51648,12431,1
51649,12432,21
51650,12433,1
51651,12434,1
51652,12435,3
51653,12436,1
51654,12437,5
51655,12438,1
51656,12439,1
51657,12440,1
51658,12441,1
51659,12442,1
51660,12443,1
51661,12444,1
51662,12445,1
51663,12446,6
51664,12447,5
51665,12448,5
51666,12449,1
51667,12450,1
51668,12451,5
51669,12452,1
51670,12453,1
51671,12454,1
51672,12455,1
51673,12456,1
51674,12457,3
51675,12458,1
51676,12459,5
51677,12460,1
51678,12461,1
51679,12462,1
51680,12463,1
51681,12464,1
51682,12465,1
51683,12466,1
51684,12467,1
51685,12468,1
51686,12469,1
51687,12470,1
51688,12471,1
51689,12472,5
51690,12472,1
51691,12473,1
51692,12474,1
51693,12475,1
51694,12476,1
51695,12477,1
51696,12478,1
51697,12479,8
51698,12480,1
51699,12481,1
51700,12482,1
51701,12483,1
51702,12484,1
51703,12485,1
51704,12486,1
51705,12487,5
51706,12488,5
51707,12489,5
51708,12490,1
51709,12491,1
51710,12492,1
51711,12493,1
51712,12494,1
51713,12495,1
51714,12496,1
51715,12497,1
51716,12498,1
51717,12499,9
51718,12500,3
51719,12501,3
51720,12502,3
51721,12503,3
51722,12504,1
51723,12504,5
51724,12505,1
51725,12506,1
51726,12507,1
51727,12508,1
51728,12509,1
51729,12510,1
51730,12511,1
51731,12512,1
51732,12513,1
51733,12514,1
51734,12515,1
51735,12516,1
51736,12517,1
51737,12518,1
51738,12519,1
51739,12520,1
51740,12521,1
51741,12522,1
51742,12523,1
51743,12524,1
51744,12525,1
51745,12526,1
51746,12527,1
51747,12528,1
51748,12529,1
51749,12530,1
51750,12531,1
51751,12532,1
51752,12533,5
51753,12534,5
51754,12535,1
51755,12536,1
51756,12537,1
51757,12538,1
51758,12539,1
51759,12540,1
51760,12541,1
51761,12542,1
51762,12543,1
51763,12544,1
51764,12545,1
51765,12546,21
51766,12547,21
51767,12548,1
51768,12549,1
51769,12550,1
51770,12551,1
51771,12552,1
51772,12553,1
51773,12554,1
51774,12555,1
51775,12556,1
51776,12557,1
51777,12558,1
51778,12559,1
51779,12560,1
51780,12561,1
51781,12562,5
