id,birth_year,death_year,name
11079,1859,1926,"Henry, Charles"
11080,1843,1904,"Labriola, Antonio"
11081,,,"Carvalhal, Alvaro do"
11082,1837,,"Thomas, Hampton Sidney"
11083,1921,1982,"McGivern, William P."
11084,1920,2010,"Tenn, William"
11085,,,"Magill, Rory"
11086,,,"Du Cros, Simon, active 17th century"
11087,1920,1976,"Galouye, Daniel F."
11088,1628,1699,"Temple, William"
11089,,,"Bell, Malcolm"
11090,1920,1990,"Ludwig, Edward W."
11091,,,"Kirlew, Marianne"
11092,1915,1992,"South, Clark"
11093,1888,1938,"Waltermire, Arthur B."
11094,,,"Garson, Clee"
11095,1828,1913,"Rogers, W. H. Hamilton (William Henry Hamilton)"
11096,1929,,"Fitch, Kenneth Leonard"
11097,,,"Willson, Harry, active 19th century"
11098,1921,1990,"Geier, Chester S."
11099,,,"Enferd, Knut"
11100,1869,,"Sloos, Dirk Abraham"
11101,1873,1955,"Butler, Pierce"
11102,,,"Quattrocchi, Frank"
11103,1802,1880,"Plumer, William S. (William Swan)"
11104,1934,,"Brenneman, Lyle E."
11105,,,"Bernier, Donald W."
11106,1871,1947,"Prichard, H. A. (Harold Arthur)"
11107,1846,,"Mills, Harlow S. (Harlow Spencer)"
11108,1869,1957,"Wright, C. H. C. (Charles Henry Conrad)"
11109,1922,2003,"Warner, Harry"
11110,,,"McKenty, Jack"
11111,1917,2002,"Curtis, Betsy"
11112,,,"Beverley, Robert"
11113,1843,1926,"Kohler, Kaufmann"
11114,1933,1993,"Hoskins, Robert"
11115,,,"Manson, George J."
11116,1872,1936,"Chatzopoulos, D."
11117,1877,1960,"Partridge, Bellamy"
11118,1748,1806,"Hardenbergh, John Leonard"
11119,1861,1934,"Wood, Irving Francis"
11120,1865,1926,"Hall, Newton Marshall"
11121,1917,1988,"Trimble, Louis"
11122,1868,1894,"Krystalles, Kostas"
11123,1839,1925,"Sigerson, George"
11124,1860,1949,"Hyde, Douglas"
11125,1816,1903,"Duffy, Charles Gavan, Sir"
11126,1813,1860,"Huc, Evariste Régis"
11127,1872,1945,"Fiske, George Walter"
11128,,,"Taylor, Jack"
11129,,,"Millington, Powell"
11130,1848,1936,"Nemirovich-Danchenko, Vasilii Ivanovich"
11131,1906,1936,"Howard, Robert E. (Robert Ervin)"
11132,,,"Brooks, Kirby"
11133,1855,1899,"Bobek, Karl Joseph"
11134,1731,1788,"Evans, Evan"
11135,1861,1926,"Schoenfeld, Hermann"
11136,,,"Whitney, Frederick"
11137,,,"Turner, Robert"
11138,,,"Allerton, J. J."
11139,1848,1897,"Sweetser, M. F. (Moses Foster)"
11140,1843,1914,Hercat
11141,1883,1936,"Coimbra, Leonardo"
11142,,,"Cunha, Elmano da"
11143,1824,1892,"Macedo, Antonio da Costa de Souza de"
11144,1864,1922,"Demetrakopoulos, Polyvios"
11145,1810,1888,"Gosse, Philip Henry"
11146,1853,1937,"Thwing, Charles Franklin"
11147,1770,1846,"Senancour, Etienne Pivert de"
11148,1848,1926,"Rodway, James"
11149,1800,1864,"Sinclair, Catherine"
11150,1847,1910,"Hume, Martin A. S. (Martin Andrew Sharp)"
11151,1895,1975,"Vischer, Melchior"
11152,1861,1920,"Kondylakes, Ioannes"
11153,1811,1866,"Gaal, József"
11154,1821,1887,"Moore, Thomas"
11155,1929,1967,"Beaumont, Charles"
11156,,,"Wells, Nathaniel Armstrong"
11157,1793,1834,"Howard, William"
11158,1851,1927,"Bradshaw, William Richard"
11159,,,"Berry, Christopher"
11160,1810,1871,"Alford, Henry"
11161,1896,1962,"Quick, Dorothy"
11162,1882,1967,"Farrar, Geraldine"
11163,,,"Bicket, James"
11164,1688,1729,"Ogilvie, William"
11165,1841,1910,"Edward VII, King of Great Britain"
11166,1872,1933,"Pasagiannes, Kostes G."
11167,1824,1879,"Valaorites, Aristoteles"
11168,,,"Cogan, Alan"
11169,,,"Barlow, Jon C."
11170,1881,1948,"Tolman, Richard C. (Richard Chace)"
11171,1934,,"Pederson, Con"
11172,,,"Pinto Carneiro Perestrello, Josephina"
11173,1841,1907,"Vidal, Eduardo Augusto"
11174,,,"Magee, Knox"
11175,1856,1913,"Ohrwalder, Josef"
11176,1861,1953,"Wingate, F. R. (Francis Reginald), Sir"
11177,,,"Liston, E. J."
11178,1858,1936,"Gilder, Joseph Benson"
11179,1849,1916,"Gilder, Jeannette L. (Jeannette Leonard)"
11180,1915,1985,"Sherred, T. L."
11181,1858,,"Larus, John Ruse"
11182,1918,1944,"O'Brien, David Wright"
11183,,,"Phelps, A. H."
11184,1826,1879,"Walmsley, Hugh Mulleneux"
11185,,,"Fletcher, Lawrence"
11186,1854,1937,"Bryden, H. A. (Henry Anderson)"
11187,,,"Vaughan, Arthur Owen"
11188,1879,1962,"Masamune, Hakuchō"
11189,1885,1956,"Russell, John"
11190,,,"Mueller, A."
11191,1846,1922,"Lebon, Ernest"
11192,1843,1920,"Clement, E. H. (Edward Henry)"
11193,1845,1925,"Kingsley, Rose Georgina"
11194,,,"Walford, Edwin Alfred"
11195,,,"Bolas, Bernard D."
11196,1837,1900,"Edwards, Thomas Charles"
11197,1867,1915,"Cook, E. T. (Ernest Thomas)"
11198,,,"Cartwright, S. E."
11199,1823,1909,"Blackburn, Hugh"
11200,1877,1941,"Getman, Frederick Hutton"
11201,1884,1956,"Howard, Kathleen"
11202,1811,1888,"Watson, William Davy"
11203,1820,1910,"Taylor, Thomas"
11204,1625,1678,"Stanley, Thomas"
11205,,,"Jackson, Louis"
11206,1881,1945,"Abdullah, Achmed"
11207,1875,1943,"Sheehan, Perley Poore"
11208,1878,1957,"Means, E. K. (Eldred Kurtz)"
11209,,,Detroit news
11210,1869,1936,"Yapp, Arthur K. (Arthur Keysall)"
11211,,,"Stanley, Monica M."
11212,,,Williams & Norgate
11213,1853,1929,"Merwin, Henry Childs"
11214,1850,1917,"Massee, George"
11215,1903,,"Walker, Etta Belle"
11216,1890,,"Willis, Carrie Hunter"
11217,,1348,"Villani, Giovanni"
11218,1814,1877,"Hosmer, William H. C. (William Howe Cuyler)"
11219,1839,1905,"Beniczkyné Bajza, Lenke"
11220,1883,1944,"Slocum, Rob R. (Rob Roy)"
11221,1872,,"Lamon, Harry M."
11222,,,"Tileston, Merrill"
11223,1619,1690,Tallemant des Réaux
11224,,,Canadian Kodak Company
11225,1834,,"Swiggett, S. A. (Samuel A.)"
11226,,,"Higgins, Walter"
11227,1866,1961,"Riley, W. (William)"
11228,,,"Thompson, Max C."
11229,1820,1899,"Dawson, John William, Sir"
11230,,,"Harvey, Ruth Sawyer"
11231,,,"Bevan, J. O. (James Oliver)"
11232,1888,,"Duryee, William Budington"
11233,1835,1906,"Wentworth, G. A. (George Albert)"
11234,1872,1951,"MacHarg, William"
11235,1883,1959,"Balmer, Edwin"
11236,1858,1933,"Brewer, Luther Albertus"
11237,1840,,"Spencer, Sanders"
11238,,,"Hunt, Eleonora"
11239,1671,1757,"Cibber, Colley"
11240,,,"Salvert, François de"
11241,1846,1939,"Bolles, Albert Sidney"
11242,,1558,"Record, Robert"
11243,1859,1928,"Lummis, Charles Fletcher"
11244,1891,1974,"Brown, Ivor John Carnegie"
11245,1848,1926,"Holmes, George Charles Vincent, Sir"
11246,1865,1951,"Ovington, Mary White"
11247,1934,,"Davis, Audrey B."
11248,1945,,"Appel, Toby A."
11249,1879,1931,"Coke, Desmond"
11250,1843,1907,"Eells, Myron"
11251,1834,1914,"Moody, Joel"
11252,,,"Chamberlain, J. N."
11253,1827,1908,"Wortabet, John"
11254,1888,1947,"O'Brien, Howard Vincent"
11255,1892,,"Kilner, Frederic Richard"
11256,1879,,"Berry, Elmer"
11257,1828,1864,"Haskell, Franklin Aretas"
11258,,,"Le Mesurier, W. H."
11259,,1915,"Granice, Harry"
11260,1867,1945,"Walter, Herbert Eugene"
11261,1869,,"Walter, Alice Hall"
11262,1805,1852,"Stephens, John L."
11263,1841,1908,"Laurent, H. (Hermann)"
11264,1837,1909,"Hausrath, Adolf"
11265,1859,1929,"Bates, Katharine Lee"
11266,1889,1964,"Chapin, James Paul"
11267,1849,1892,"Leffler, Anne Charlotte"
11268,1805,1874,"Cowdin, Robert"
11269,1854,1913,"Ellwanger, William De Lancey"
11270,1873,1919,"Weyl, Walter E. (Walter Edward)"
11271,1884,1964,"Messenger, Ruth Ellis"
11272,1849,1915,"Meldola, Raphael"
11273,1886,,"Scott, William R. (William Rufus)"
11274,,,"Brooklyn (New York, N.Y.). Committee of Ten"
11275,,,"Roberts, Thomas"
11276,,,"Seville, William P."
11277,1840,,"Stone, James Madison"
11278,,,"Wiggin, Edith E."
11279,1867,1949,"Hughson, Shirley Carter"
11280,1791,1863,"Doederlein, Ludwig von"
11281,1917,2007,"Bedini, Silvio A."
11282,1878,1962,"Hard, William"
11283,1853,1928,"Schoenflies, A. (Arthur)"
11284,1843,1918,"Jones, Jenkins Lloyd"
11285,1835,1882,"Jevons, William Stanley"
11286,1862,1946,"MacDonagh, Michael"
11287,1809,1887,"Fowler, O. S. (Orson Squire)"
11288,1811,1896,"Fowler, L. N. (Lorenzo Niles)"
11289,1640,1701,"Garau, Francisco"
11290,,,"Dallas, Richard"
11291,1878,,"Fréchet, Maurice"
11292,,,"Heywood, H. Bryon (Horace Bryon)"
11293,1892,1944,"Means, Philip Ainsworth"
11294,1835,1921,"Rosengarten, J. G. (Joseph George)"
11295,1858,1934,"Scharff, R. F. (Robert Francis)"
11296,1873,,"Doughty, William E. (William Ellison)"
11297,1821,1868,"Adler, G. J. (George J.)"
11298,,,"Pryor, Elizabeth Brown"
11299,,,"Civic League (Williston, North Dakota)"
11300,,,"MacNeil, John"
11301,1880,1927,"Pisuisse, Jean-Louis"
11302,1859,1926,"Osborne, Thomas Mott"
11303,1749,1832,"Tourzel, Louise Elisabeth, Duchesse de"
11304,1811,1888,"Sarmiento, Domingo Faustino"
11305,1846,1934,"Zimmern, Helen"
11306,1887,1972,"Chaundler, Christine"
11307,,,"Netherton, Nan"
11308,,,Frei Ugedio
11309,,,"Cassells, Joe"
11310,1844,1935,"Meyer, Henry C. (Henry Coddington)"
11311,1851,1916,"Thompson, Silvanus P. (Silvanus Phillips)"
11312,,,"Visser, Piet"
11313,1843,,"Hopkins, Luther W."
11314,,,"Curling, H. Onslow"
11315,1869,1942,"Burgett, Arthur Edward"
11316,1880,1925,"Mathewson, Christy"
11317,1862,1950,"Brown, Charles Reynolds"
11318,1892,1942,"Stoke, Melis"
11319,1815,1891,"Kidder, Daniel P. (Daniel Parish)"
11320,1853,1933,"Bury, Herbert, Bp."
11321,1817,1899,"Adams, H. C. (Henry Cadwallader)"
11322,1772,1823,"Ricardo, David"
11323,1727,1794,"L'Homond, C. F."
11324,1851,1935,"Schottky, Friedrich"
11325,,,"Gladding, Effie Price"
11326,1806,1881,"Baines, Thomas"
11327,,,"Biddle, Violet Purton"
11328,,,"Beard, James Melville"
11329,1889,1953,"Leonhard, Rudolf"
11330,1886,1958,"Hurwitz, Wallie Abraham"
11331,,,"Harris, Joseph Theodore"
11332,1865,1942,"Vedel, Vald."
11333,1830,1909,"Prichard, Sarah J. (Sarah Johnson)"
11334,1861,1930,"Turner, H. H. (Herbert Hall)"
11335,1812,1883,"Maning, Frederick Edward"
11336,1751,1800,"Dodge, John"
11337,,,"Kennard, Nina H."
11338,1840,1922,"Cobden-Sanderson, T. J. (Thomas James)"
11339,1812,1879,"Melas, Leon"
11340,1849,1924,"Harbaugh, T. C. (Thomas Chalmers)"
11341,,,"Gleasner, Bill"
11342,,,"Gleasner, Diana C."
11343,1869,1937,"Compton-Rickett, Arthur"
11344,1840,,"Clark, William H."
11345,1874,1926,"Candler, Edmund"
11346,1766,1853,"Appleton, Samuel"
11347,,,"Phillips, Gary L."
11348,1830,1878,"Broderip, Frances Freeling"
11349,1855,1944,"Boys, C. V. (Charles Vernon)"
11350,,,"Trecartin, John S."
11351,1960,,"Sawyer, Robert J."
11352,1843,1911,"Fuschini, Augusto"
11353,,,"Proudfit, Fairfax T. (Fairfax Throckmorton)"
11354,1905,2002,"Clark, Joan"
11355,1872,1933,"Thatcher, Roscoe Wilfred"
11356,,,Lawrence Radiation Laboratory
11357,1879,1933,"Dodd, Lee Wilson"
11358,1834,1903,"Shorthouse, J. H. (Joseph Henry)"
11359,1835,1901,"Gray, Elisha"
11360,1863,1948,"Bailey, Florence Merriam"
11361,1886,1967,"Stace, W. T. (Walter Terence)"
11362,1909,2009,"Fitch, Henry S. (Henry Sheldon)"
11363,,,"Rawlings, Gertrude Burford"
11364,1619,1688,"Furetière, Antoine"
11365,1878,1929,"Stresemann, Gustav"
11366,1822,1889,"Riker, James"
11367,1840,1923,"Chadwick, G. A. (George Alexander)"
11368,1848,1920,"Garner, R. L. (Richard Lynch)"
11369,1865,1941,"Pocock, Roger"
11370,,,"Lincoln, Francis L."
11371,,,"Forbes-Mitchell, William"
11372,1806,1873,"Butler, T. B. (Thomas Belden)"
11373,1826,1890,"Brace, Charles Loring"
11374,,,"Vide, V. V."
11375,,,"Waring, George"
11376,1878,1960,"Freeman, Lewis R. (Lewis Ransome)"
11377,1827,1914,"Joyce, P. W. (Patrick Weston)"
11378,1693,1744,"Bramston, James"
11379,1840,1923,"Thursfield, James R. (James Richard)"
11380,1869,,"Leigh, Sarah Ann"
11381,1800,1877,"Talbot, William Henry Fox"
11382,,,"Costelloe, Laurence"
11383,1708,1787,"Mauduit, Israel"
11384,,,"Smith, Charles W."
11385,1857,1927,"Hill, Headon"
11386,1787,1865,"Richardson, John, Sir"
11387,1891,1972,"Chadwick, Nora K. (Nora Kershaw)"
11388,,,"Holdsworth, J. H."
11389,1795,1870,"Kennedy, John Pendleton"
11390,1807,1896,"Palmieri, Luigi"
11391,1845,1932,"Smith, Arthur H."
11392,1828,1920,"Bolanden, Conrad von"
11393,1863,1930,"Whitham, A. R. (Arthur Richard)"
11394,1821,1896,"Friis, J. A. (Jens Andreas)"
11395,1818,1883,"Thomasson, Pehr"
11396,,,"Taylor, William"
11397,,,"Forster, H. C."
11398,1893,1956,"Hersey, Harold"
11399,,,"Lambert, Miss (F.)"
11400,,,"Davenport, Reuben Briggs"
11401,1857,,"Wood, Norman Asa"
11402,,,"Austen, Sidney"
11403,1817,1891,"Nägeli, Carl"
11404,1820,1884,"Brown, James Baldwin"
11405,1926,,"Winn, Howard Elliott"
11406,,,"Leatherwood, Stephen"
11407,1928,,"Caldwell, David Keller"
11408,1865,1945,"Chatfield-Taylor, H. C. (Hobart Chatfield)"
11409,1877,1939,"Grinnell, Joseph"
11410,,1845,Roustam
11411,,,"De Zafra, Carlos"
11412,,,"Inglis, W. H."
11413,1777,1859,"Hallam, Henry"
11414,1931,,"Platt, Dwight R."
11415,1843,1904,"Tarde, Gabriel de"
11416,1870,1940,"Bachynskyi, IUliian"
11417,1878,1956,"Call, Frank Oliver"
11418,1897,1979,"Watkins, Shirley"
11419,,,"Balfour, Grant"
11420,,,"Jenkinson, Marion Anne"
11421,,,"Echols, Joan"
11422,,1726,"Hilarides, Johannes"
11423,,,"Wheeler, Ruthe S."
11424,,,"Martin, Absalom"
11425,1872,1944,"Robinson, W. Heath (William Heath)"
11426,,,"Nunes d'Almeida, Avelino"
11427,1707,1793,"Goldoni, Carlo"
11428,,,Ticknor and Company
11429,,,Philadelphia Brigade Association
11430,1868,,"Gill, Charles Otis"
11431,,1933,"D'Anvers, N."
11432,1842,1930,"O'Brien, James"
11433,1855,1938,"Edwards, Harry Stillwell"
11434,1809,1877,"Lafon-Labatut, Joseph"
11435,1874,1958,"Nitsch, Kazimierz"
11436,1860,1928,"Łoś, Jan"
11437,1867,1935,"Rozwadowski, Jan Michał"
11438,1843,1899,"Taunay, Alfredo d'Escragnolle Taunay, Visconde de"
11439,,,"Hoskyn, E. L. (Elizabeth Louisa)"
11440,1861,1927,"Long, John Luther"
11441,1862,,"Adams, James Meade"
11442,1832,1908,"Knowles, J. Harris (John Harris)"
11443,1853,1939,"Cruikshank, E. A. (Ernest Alexander)"
11444,,,"Grant, Joseph W."
11445,1865,1946,"Sears, Joseph Hamblen"
11446,1895,1985,"Madison, Charles Allan"
11447,,,"Boyd, Lucius J."
11448,1869,1952,"Maclean, Norman"
11449,,,North Carolina
11450,1823,1885,"Tellegen, B. D. H. (Bernard Dominicus Hubertus)"
11451,1850,1900,"Betz, Gerardus Henri"
11452,1850,1917,"Bloundelle-Burton, John"
11453,1914,1990,"Wollheim, Donald A."
11454,,,"Comfield, Amelia Stratton"
11455,1887,1977,"Dice, Lee R. (Lee Raymond)"
11456,1868,1953,"Banks, Nathan"
11457,,,"Rohde, Eleanour Sinclair"
11458,1728,1790,"Warton, Thomas"
11459,,,"Andersen, Kenneth W."
11460,,,"Daniels, Thomas"
11461,,,"Comer, Cornelia A. P. (Cornelia Atwood Pratt)"
11462,1842,1917,"Hammer, Bonaventure"
11463,1884,1921,"Evans, Donald"
11464,1855,1916,"Royce, Josiah"
11465,1857,1945,"Burke, John J. (John James)"
11466,1845,1936,"Carter, Robert Goldthwaite"
11467,1838,1914,"Halidom, M. Y."
11468,,,"Gaylord, Ilsien Nathalie"
11469,1825,1893,"Holcombe, William H. (William Henry)"
11470,1865,1930,"Schirmacher, Käthe"
11471,1808,1869,"Valuy, Benôit"
11472,1858,1935,"Krarer, Olof"
11473,1836,1905,"Tillinghast, Pardon Elisha"
11474,1886,1972,"Harper, Francis"
11475,1856,1904,"Kitton, Frederic George"
11476,,,"Madders, Susan Swain"
11477,,,"Chaffee, Allen"
11478,1862,1954,"Loria, Gino"
11479,1879,1943,"Brown, Harold Chapman"
11480,1882,1974,"Kallen, Horace Meyer"
11481,,,"Mead, George H."
11482,1866,1930,"Moore, Addison Webster"
11483,1873,1953,"Bode, Boyd Henry"
11484,1870,1951,"Stuart, Henry Waldgrave"
11485,1888,1962,"Putnam, Nina Wilcox"
11486,,,"Calhoun, Howell"
11487,,,"Bolen, C. Edgar"
11488,1856,1904,"McLennan, William"
11489,1880,1962,"Tawney, R. H. (Richard Henry)"
11490,1575,1624,"Böhme, Jakob"
11491,1797,1840,"Müller, Karl Otfried"
11492,1725,1805,"Latude, Henri Masers de"
11493,1827,1886,"Lalanne, Maxime"
11494,1842,1913,"Richards, Caroline Cowles"
11495,1856,1945,"Hayes, Kate Simpson"
11496,1859,1932,"Udden, Johan August"
11497,1871,1949,"Hammerton, John Alexander, Sir"
11498,1892,1969,"Farber, Eduard"
11499,1852,1925,"Knight, E. F. (Edward Frederick)"
11500,1866,1932,"Cooke, Edmund Vance"
11501,1893,1958,"Bullett, Gerald"
11502,1863,,"Plumb, Albert Hale"
11503,1861,1924,"Elliott, Francis Perry"
11504,1889,1956,"Janis, Elsie"
11505,1870,,"Bushnell, Curtis C. (Curtis Clark)"
11506,1876,1963,"Stjernstedt, Georg"
11507,1890,1952,"Gabriel, Gilbert W. (Gilbert Wolf)"
11508,1778,1837,"Fain, Agathon-Jean-François, baron"
11509,1896,1974,"Cook, Sherburne Friend"
11510,1826,1903,"Telles, João José de Sousa"
11511,1820,1877,"Wyatt, M. Digby (Matthew Digby), Sir"
11512,1881,1965,"Bird, Richard"
11513,1882,1967,"Horn, Ernest"
11514,1883,,"Ashbaugh, Ernest J. (Ernest James)"
11515,1870,,"McConnell, Walter Caruth"
11516,1871,1930,"Harding, A. R. (Arthur Robert)"
11517,1802,1879,"Evans, Charles"
11518,,,"Wood, Charles W. (Charles William)"
11519,1779,,"Dunham, Jacob"
11520,1754,1824,"Dallas, Robert Charles"
11521,1828,1879,"Capello, Felix Antonio de Brito"
11522,1852,1916,"Lyon, William Scrugham"
11523,1857,1931,"Johnson, Willis Fletcher"
11524,1829,1904,"Coleman, W. S. (William Stephen)"
11525,,,"Bristowe, Sibyl"
11526,1621,1676,"Grimmelshausen, Hans Jacob Christoph von"
11527,1840,1912,"Gerard, John"
11528,1499,1582,"Platter, Thomas"
11529,1853,1939,"Leduc, Stéphane"
11530,1888,1942,"Capablanca, José Raúl"
11531,1860,,"Jones, Mabel Cronise"
11532,1848,1910,"Saunders, Edward"
11533,1823,1898,"Castro, Adolfo de"
11534,1520,1603,"Sastrow, Bartholomäus"
11535,1780,1824,"Rémusat, Madame de (Claire Elisabeth Jeanne Gravier de Vergennes)"
11536,,,"Miller, Lewis"
11537,,,"Wright, Russell Stuart"
11538,1838,1905,"Wright, Lewis"
11539,1844,1908,"Rimsky-Korsakov, Nikolay"
11540,,,"Maverick, Samuel"
11541,,,"Judson, L. Carroll (Levi Carroll)"
11542,,,"Rack, B. A."
11543,,,"Stallcup, William B."
11544,1860,1911,"Wattles, W. D."
11545,1924,,"Parker, Watson"
11546,,,"Wightman, Lulu"
11547,,,"Hughes, J. Cecil (John Cecil)"
11548,1835,,"Weiss, Susan Archer Talley"
11549,1894,,"Klausner, Julius"
11550,1865,1941,"Merezhkovsky, Dmitry Sergeyevich"
11551,1840,1917,"Beal, F. E. L. (Foster Ellenborough Lascelles)"
11552,1874,1933,"Pfungst, Oskar"
11553,1850,1908,"Shenstone, W. A. (William Ashwell)"
11554,1889,1973,"Marx, Magdeleine"
11555,1781,1855,"Juteini, Jaakko"
11556,,,"Douglas, Eileen"
11557,,,"Watts, Miss"
11558,1850,,"Northend, Mary Harrod"
11559,,,"Wilder, Theodore"
11560,,,"Maslin, T. Paul"
11561,,,"Keene, S. F., Mrs."
11562,,,Florida State Live Stock Association
11563,,,"Reeve, Sophia"
11564,,,"Hall, Mary Elizabeth"
11565,1878,1978,"Ruck, Berta"
11566,1849,1927,"Harrison, Elizabeth"
11567,1834,1901,"Brink, Jan ten"
11568,1496,1544,"Folengo, Teofilo"
11569,1831,1893,"Pratt, Anna Bronson Alcott"
11570,1856,1916,"Moss, Edward George Britton"
11571,,,"Hastings, Z. S. (Zachariah Simpson)"
11572,,,"Oost, Jan"
11573,1837,1911,"McCook, Henry C. (Henry Christopher)"
11574,,,"Ryden, Ernest Edwin"
11575,1885,1977,"Untermeyer, Louis"
11576,1883,1922,"Pickthall, Marjorie L. C. (Marjorie Lowry Christie)"
11577,,,"West, Noel"
11578,,,"Smith, A. D. (Alfred Daniel)"
11579,1855,1926,"Debs, Eugene V. (Eugene Victor)"
11580,1820,1877,"Nicolle, Henri"
11581,1884,1966,"Hamilton, Mary Agnes"
11582,1862,1945,"Commons, John R. (John Rogers)"
11583,,,"Townley, James"
11584,1879,1967,"Jones, Franklin Day"
11585,,,"Bohler, Otto"
11586,1883,1967,"Patrício, Ladislau"
11587,1846,1928,"Paiva de Andrada, Joaquim Carlos"
11588,1858,,"Lockard, John Ready"
11589,1885,,"Leverage, Henry"
11590,,,"Boggess, Arthur Clinton"
11591,,,"Martin, Marcus J."
11592,,,Jussi
11593,,,"Chipman, Robert A."
11594,1846,1917,"Woodcock, E. N. (Eldred Nathaniel)"
11595,1846,1922,"Sforza, Giovanni"
11596,1840,1907,"Maury, Richard L. (Richard Lancelot)"
11597,,,"Bishop, Harry Coghill Watson"
11598,1834,1914,"Weismann, August"
11599,1853,1931,"Lucas, Charles Prestwood, Sir"
11600,1883,1964,"Sasaki, Kuni"
11601,1851,1935,"Chamberlin, Joseph Edgar"
11602,1804,1889,"Merrifield, Mary P. (Mary Philadelphia)"
11603,1876,1935,"Andreadis, Andreas"
11604,1837,,"Caddy, Florence"
11605,1880,,"Kreps, Elmer Harry"
11606,1895,1998,"Jünger, Ernst"
11607,1869,1943,"Hrdlička, Aleš"
11608,,,"Holm, Jacob"
11609,1874,,"Wallis, Arthur Frederick"
11610,,,"Santiagoe, Daniel"
11611,1887,1946,"Boyd, Ernest Augustus"
11612,1870,,"Manning, Joseph C. (Joseph Columbus)"
11613,,,"Trumble, Alfred"
11614,1886,,"Thomssen, Edgar George"
11615,1867,1942,"Raven-Hill, L. (Leonard)"
11616,1874,1942,"Chambers, R. W. (Raymond Wilson)"
11617,1844,1924,"Dill, Samuel"
11618,1744,1818,"Adams, Abigail"
11619,,1929,"Mills, J. Saxon (John Saxon)"
11620,,1386,Madhava
11621,1876,1918,"Cankar, Ivan"
11622,,,"Hardy, Laurence M."
11623,,,"Cole, Charles J."
11624,,,"Gordon, H. Laing (Henry Laing)"
11625,1864,1951,"Loring, Emilie Baker"
11626,1875,1970,"Whitelaw, David"
11627,,,"Furneaux, William S."
11628,1849,1896,"Vizyenos, G. M. (Georgios M.)"
11629,1644,,"Le Clerc, M. (Charles Gabriel)"
11630,,,"Newton, Grace Clarke"
11631,1796,1852,"MacGillivray, William"
11632,1825,1890,"Sellar, W. Y. (William Young)"
11633,1875,1949,"Knowles, Mabel Winifred"
11634,1866,1936,"Rowlands, Effie Adelaide"
11635,,,"Loviot, Fanny"
11636,,,"Lindley, H. Esselstyn"
11637,,,"Hunter, Martin"
11638,1803,1869,"Allen, Richard Lamb"
11639,1841,1909,"Hulme, F. Edward (Frederick Edward)"
11640,,,"Holten-Bechtolsheim, Hans"
11641,,,"Sharman, Julian"
11642,,,"Edge, Frederick Milnes"
11643,1860,1939,"Ros, Amanda McKittrick"
11644,1754,1819,"Martelaos, Antonios"
11645,1792,1869,"Kalvos, Andreas"
11646,1871,1925,"Jessen, Burchard"
11647,,,Eatmor Cranberries
11648,,,"Copeland, Vanness"
11649,1866,1936,"Jordan, Edwin O. (Edwin Oakes)"
11650,1886,1940,"Bower, John Graham"
11651,1829,1895,"Taylor, William M. (William Mackergo)"
11652,1864,1927,"Lloyd, Alfred H. (Alfred Henry)"
11653,,,"Phillips, E. C. (Edith Caroline)"
11654,,,"Bates, Loïs"
11655,1778,1847,"Park, John Ranicar"
11656,,,"Kringle, George"
11657,1879,,"Lundsford, Hugh"
11658,,,"Gilbert, George"
11659,1822,1887,"Hutchison, Joseph C. (Joseph Chrisman)"
11660,1663,1730,Árni Magnússon
11661,1858,1932,"Gayley, Charles Mills"
11662,1841,1913,"Grubb, E. Burd (Edward Burd)"
11663,1847,,"Brown, E. E. (Emma Elizabeth)"
11664,1863,,"Madden, Eva Annie"
11665,1872,1952,"Young, George"
11666,,,"Proctor, H. G. (Harry George)"
11667,,,"Schmidt, Arno Erdman"
11668,,1914,"Devereux, Mary"
11669,1942,,"Trueb, Linda"
11670,1884,1967,"Shepard, Odell"
11671,1876,1925,"Holland, Norah M. (Norah Mary)"
11672,,,"Nielsen, Roger"
11673,,,"Wood, Bradford Ripley, Jr."
11674,1848,1920,"Gener, Pompeyo"
11675,,,"Hartley, Oliver"
11676,,,"Heer, Betsy de"
11677,,,"Lee, J. F."
11678,1850,1920,"Perry, John"
11679,,,Plattsburgh Barracks (N.Y.)
11680,1792,1875,"Flor, Christian"
11681,,,"Norfolk, Horatio Edward"
11682,,,"Magalhães, José Maria Barbosa de"
11683,,,"Machado, Júlio César"
11684,1876,,"Riley, William A. (William Albert)"
11685,1870,1961,"Johannsen, O. A. (Oskar Augustus)"
11686,1864,1922,"Bacon, Frank"
11687,1879,1967,"Pattullo, George"
11688,1843,1915,"Benn, Alfred William"
11689,,,"Machado, Diogo Rosa"
11690,,,"Guliver, Robert"
11691,1774,1834,"Macedo, Inácio José de"
11692,1882,1950,"Pimenta, Alfredo"
11693,,1834,"Costa, Manuel Cipriano da"
11694,,,"Arantes, Hemeterio"
11695,,,"Casimiro, Augusto"
11696,,,"Garland, John"
11697,1831,1902,"Holbrook, M. L. (Martin Luther)"
11698,1866,1931,"Galloway, William Johnson"
11699,1882,1965,"Ingram, Kenneth"
11700,1911,,"Villa Ramírez, Bernardo"
11701,1941,,"Hoover, Thomas"
11702,1889,1978,"Taylor, Edward Harrison"
11703,1908,1999,"Gould, Mona"
11704,1861,1939,"Pendleton, Louis"
11705,1842,1920,"McKim, Randolph H. (Randolph Harrison)"
11706,,,"Bee, James W."
11707,,,"Crane, Harold S."
