id,birth_year,death_year,name
582,1846,1902,"Brooks, Elbridge S. (Elbridge Streeter)"
583,1800,1873,"McGuffey, William Holmes"
584,1822,1909,"Hale, Edward Everett"
585,1873,1953,"Ginzberg, Louis"
586,,,"Steele, Chester K."
587,1810,1894,"Lord, John"
588,1564,1616,Shakespeare (spurious and doubtful works)
589,1833,1922,"Morris, Charles"
590,1844,1929,"Carpenter, Edward"
591,1864,1941,"Leblanc, Maurice"
592,1740,1795,"Boswell, James"
593,1849,1919,"Osler, William"
594,,,"Dumont, Theron Q."
595,1881,1948,"Myerson, Abraham"
596,1832,1911,"Benton, Joel"
597,1862,1960,"Phillpotts, Eden"
598,1866,1944,"McAfee, Cleland Boyd"
599,1868,1955,"Wood, Robert Williams"
600,1805,1875,"Andersen, H. C. (Hans Christian)"
601,1882,1950,"Stephens, James"
602,1864,1912,"Astor, John Jacob"
603,1824,1895,"Dumas, Alexandre"
604,1910,1986,"Conkling, Hilda"
605,1870,1944,"Clouston, J. Storer (Joseph Storer)"
606,1846,1934,"Hawthorne, Julian"
607,1877,1966,"Savage, Ernest Albert"
608,,1541,"Rojas, Fernando de"
609,1859,1930,"Whibley, Charles"
610,1864,1946,"Dixon, Thomas"
611,,,"Wagner, Belle M."
612,,,"Burgoyne, Thomas H."
613,1380,1471,"Thomas, à Kempis"
614,1863,1927,"Foster, Herbert Darling"
615,1896,1974,"Farrar, John Chipman"
616,,,Apuleius
617,-428,-348,Plato (spurious and doubtful works)
618,1797,1883,"Truth, Sojourner"
619,,,"Gilbert, Olive"
620,1856,1963,"Brown, Arthur Judson"
621,,,"Todd, Burbank L."
622,1879,1966,"Sanger, Margaret"
623,1870,1936,"Johnston, Mary"
624,,,"Reilly, S. A."
625,1852,1942,"Iles, George"
626,1863,1943,"Williams, Henry Smith"
627,1868,1944,"Williams, Edward Huntington"
628,1867,1935,"Stephenson, Nathaniel W. (Nathaniel Wright)"
629,-750,-650,Homer
630,1860,1904,"Chekhov, Anton Pavlovich"
631,1795,1850,"Hecker, J. F. C. (Justus Friedrich Carl)"
632,1881,1935,"Lincoln, Natalie Sumner"
633,1876,1961,"MacGregor, Mary Esther Miller"
634,1871,1954,"Raine, William MacLeod"
635,1884,1933,"Biggers, Earl Derr"
636,1866,1954,"Nicolay, Helen"
637,1853,1927,"Ogden, Ruth"
638,1874,1965,"Burgess, Thornton W. (Thornton Waldo)"
639,,,"Mason, Mary Murdoch"
